UPC#12,UPC#11,KEHE#,CUST ITEM#,BRAND,ITEM DESC,SIZE,UOM,PACK,CASE PRICE,RETAIL PRICE,CAT1,CAT2,CAT3,CLASS DESC,DIV DESC,DEPARTMENT,ITEM STATUS,CASE LENGTH,CASE WIDTH,CASE HEIGHT,CASE WEIGHT
012511600006,01251160000,70110,,WHOLESOME,WHOLESOME MOLASSES BLACKSTRAP ORG FTC,16.00,OZ,12,57.000,6.79,Natural Grocery,GRANULATED LIQ,MOLLASSES,SWEETENERS HONEY,NATURAL GROCERY,100,MANUFACTURER_TEMP_OUT,0000006,9.00,8.000,19.680
789968000023,78996800002,70118,,HEINZ,HEINZ BEAN BAKED,13.70,OZ,12,38.160,4.59,Specialty Groce,BEANS GRAINS RI,BRITISH,BEANS GRAINS RICE,SPECIALTY GROCERY,100,ACTIVE,0000017,11.80,4.200,25.500
073416040588,07341604058,70173,,LUNDBERG,LUNDBERG RICE BRWN JASMINE ORG,32.00,OZ,6,46.260,11.09,Natural Grocery,BEANS GRAINS RI,PACKAGED RICE,BEANS GRAINS RICE,NATURAL GROCERY,100,ACTIVE,0000008,10.25,6.750,13.000
859975002386,85997500238,70296,,ANDALOU NATURAL,ANDALOU NATURALS SHAMPOO AGE DEFYING TRTMN,11.50,OZ,1,5.680,9.99,Health Body Car,HAIR CARE,SHAMPOO,HAIR CARE,HEALTH BODY CARE,100,MANUFACTURER_TEMP_OUT,0000006,4.87,6.870,5.400
859975002393,85997500239,70298,,ANDALOU NATURAL,ANDALOU NATURALS CONDTNR AGE DEFYING T,11.50,OZ,1,5.680,9.99,Health Body Car,HAIR CARE,CONDITIONER,HAIR CARE,HEALTH BODY CARE,100,ACTIVE,0000006,4.87,6.870,5.400
071998500001,07199850000,70312,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ BTTR REGULAR,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000009,6.50,8.300,7.260
071998500025,07199850002,70314,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ BUTTER JALAPENO,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000010,6.20,6.250,8.130
071998500070,07199850007,70315,,TONY CHACHERES,TONY CHACHERES MARINADE & INJ HNY PRLN HAM,17.00,OZ,6,34.020,8.19,Specialty Groce,CONDIMENTS DRES,SAUCES & MARINADES,CONDIMENTS DRESSINGS,SPECIALTY GROCERY,100,ACTIVE,0000011,6.00,8.500,7.080
078342780744,07834278074,70400,,WESTERN,WESTERN WOOD CHIP SMKNG MESQUITE,2.250,LB,6,17.760,4.29,General Merchan,MISC GENERAL ME,OUTDOOR GRILLING ICE,MISC GENERAL MERCH ITEMS,GENERAL MERCHANDISE,100,ACTIVE,0000023,14.50,6.000,11.540
078342780751,07834278075,70401,,WESTERN,WESTERN WOOD CHIP SMKNG HICKORY,2.250,LB,6,17.760,4.29,General Merchan,MISC GENERAL ME,OUTDOOR GRILLING ICE,MISC GENERAL MERCH ITEMS,GENERAL MERCHANDISE,100,ACTIVE,0000023,14.50,6.000,13.080
